time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
100,11.462281,,,,
200,-17.407396,4.976172924041748,1920.2032470703125,0.001,99
300,-16.844604,18.5201473236084,1992.1807861328125,0.001,199
400,-17.673563,27.471515655517578,803.1981201171875,0.001,299
500,-17.98263,34.43257141113281,659.482421875,0.001,399
600,-16.56007,40.87152099609375,526.57763671875,0.001,499
700,22.644648,35.82511901855469,1076.0479736328125,0.001,599
800,93.53152,-14.869919776916504,3877.1845703125,0.001,699
900,95.51164,-94.81134033203125,3886.119384765625,0.001,799
1000,95.65211,-78.26913452148438,3186.063232421875,0.001,899
1100,89.56225,-123.88573455810547,3233.021484375,0.001,999
1200,102.33845,-174.95452880859375,5647.87109375,0.001,1099
1300,96.95259,-198.47482299804688,10047.27734375,0.001,1199
1400,104.92348,-255.73638916015625,12167.861328125,0.001,1299
1500,98.11,-269.5244445800781,12563.7724609375,0.001,1399
1600,93.891136,-338.90093994140625,18010.345703125,0.001,1499
1700,90.09695,-381.11309814453125,21392.732421875,0.001,1599
1800,95.63354,-414.9146728515625,22795.365234375,0.001,1699
1900,100.3277,-380.6141357421875,25342.6484375,0.001,1799
2000,90.888664,-496.26898193359375,26113.474609375,0.001,1899
2100,97.48455,-493.6479797363281,34199.5546875,0.001,1999
2200,94.63924,-558.6871337890625,26793.296875,0.001,2099
2300,92.116356,-568.7402954101562,23132.828125,0.001,2199
2400,91.884125,-673.7232666015625,37737.0390625,0.001,2299
2500,99.77672,-770.3363037109375,34382.6015625,0.001,2399
2600,92.168274,-748.0234375,36327.84765625,0.001,2499
2700,96.66225,-836.09375,51301.6015625,0.001,2599
2800,99.290886,-793.416015625,40265.41015625,0.001,2699
2900,88.9275,-875.1629028320312,44799.16015625,0.001,2799
3000,95.578766,-922.2351684570312,46387.94921875,0.001,2899
3100,95.04321,-965.5811767578125,50524.08984375,0.001,2999
3200,95.647736,-946.95703125,51827.34375,0.001,3099
3300,95.29137,-980.1900634765625,43090.13671875,0.001,3199
3400,86.86233,-1076.8394775390625,51348.390625,0.001,3299
3500,90.01147,-1098.410400390625,51818.0234375,0.001,3399
3600,91.47085,-1116.416748046875,61105.59375,0.001,3499
3700,96.01121,-1133.0909423828125,56367.25390625,0.001,3599
3800,97.15649,-1211.523681640625,54840.12890625,0.001,3699
3900,90.8842,-1213.978515625,52486.4765625,0.001,3799
4000,93.746925,-1329.8798828125,39008.546875,0.001,3899
4100,84.024895,-1336.18994140625,52393.94140625,0.001,3999
4200,92.955475,-1388.1702880859375,48367.48828125,0.001,4099
4300,96.94277,-1294.65478515625,52282.078125,0.001,4199
4400,88.6428,-1498.258544921875,52388.5390625,0.001,4299
4500,91.07854,-1473.66015625,54810.91015625,0.001,4399
4600,91.55534,-1510.2509765625,58733.0703125,0.001,4499
4700,84.66553,-1493.4559326171875,45304.015625,0.001,4599
4800,91.13892,-1482.227783203125,61633.328125,0.001,4699
4900,96.84714,-1623.8275146484375,52817.109375,0.001,4799
5000,96.145515,-1604.6361083984375,54477.60546875,0.001,4899
5100,92.82655,-1723.9862060546875,53255.1484375,0.001,4999
5200,95.71311,-1729.1778564453125,60672.703125,0.001,5099
5300,90.87485,-1811.7872314453125,56873.015625,0.001,5199
5400,91.735306,-1770.783935546875,61539.24609375,0.001,5299
5500,105.04505,-1943.69287109375,50219.66015625,0.001,5399
5600,96.42007,-1891.8455810546875,50496.9609375,0.001,5499
5700,91.38268,-1907.4569091796875,67978.1015625,0.001,5599
5800,99.61897,-1952.2470703125,56649.26171875,0.001,5699
5900,88.567566,-2078.499755859375,47583.81640625,0.001,5799
6000,94.44486,-1987.89404296875,56504.21875,0.001,5899
6100,99.517365,-1980.3846435546875,59042.0390625,0.001,5999
6200,93.0587,-2026.082763671875,59496.19140625,0.001,6099
6300,93.06809,-2110.408203125,57317.48046875,0.001,6199
6400,86.87127,-2182.2177734375,64739.56640625,0.001,6299
6500,95.0436,-2218.568359375,52864.6015625,0.001,6399
6600,91.3493,-2316.477783203125,54153.3359375,0.001,6499
6700,97.59109,-2179.16845703125,59858.01953125,0.001,6599
6800,95.32931,-2362.4150390625,70864.140625,0.001,6699
6900,86.94107,-2307.946044921875,51653.671875,0.001,6799
7000,96.451164,-2374.6201171875,49678.87890625,0.001,6899
7100,88.355576,-2476.392578125,61049.7734375,0.001,6999
7200,93.27195,-2386.91162109375,59171.625,0.001,7099
7300,102.68002,-2532.851806640625,62393.375,0.001,7199
7400,96.95268,-2436.1962890625,55141.60546875,0.001,7299
7500,90.533875,-2592.842529296875,52399.94921875,0.001,7399
7600,96.73427,-2637.74560546875,63244.171875,0.001,7499
7700,85.28481,-2696.112548828125,63626.01953125,0.001,7599
7800,96.19241,-2681.5087890625,54555.203125,0.001,7699
7900,96.81734,-2638.015625,52257.0390625,0.001,7799
8000,93.31539,-2636.97314453125,60746.37109375,0.001,7899
8100,92.487526,-2780.64990234375,54163.61328125,0.001,7999
8200,91.00085,-2683.09375,49897.4609375,0.001,8099
8300,93.294235,-2800.331787109375,56614.48828125,0.001,8199
8400,96.26596,-2825.769775390625,54840.25390625,0.001,8299
8500,93.9731,-2788.295654296875,55920.87890625,0.001,8399
8600,95.07143,-2822.648681640625,47221.76953125,0.001,8499
8700,89.855255,-2898.77783203125,62608.01953125,0.001,8599
8800,92.38754,-2966.798828125,67081.5703125,0.001,8699
8900,87.98706,-2977.24658203125,58613.640625,0.001,8799
9000,90.07315,-3016.030517578125,53506.60546875,0.001,8899
9100,105.50746,-3088.366455078125,67184.0703125,0.001,8999
9200,101.442696,-3100.338134765625,77412.84375,0.001,9099
9300,96.176125,-3048.276611328125,76767.15625,0.001,9199
9400,91.921875,-3111.92333984375,70802.234375,0.001,9299
9500,91.465096,-3211.033203125,61072.10546875,0.001,9399
9600,94.38633,-3224.993408203125,69281.421875,0.001,9499
9700,103.0322,-3276.1298828125,45495.1484375,0.001,9599
9800,85.6596,-3278.426513671875,53591.578125,0.001,9699
9900,91.11086,-3323.514892578125,64643.62890625,0.001,9799
10000,90.27608,-3320.076171875,57998.19140625,0.001,9899
